words,answer,commonness,familiar,recognized
aalii,0,0.06,0.09,0.09
abaca,0,0.073,0.14,0.1
aback,1,0.637,1.57,0.75
abaff,0,0.05,0.06,0.08
abaft,0,0.157,0.37,0.19
abase,1,0.38,1.11,0.39
abash,0,0.405,1.14,0.43
abask,0,0.073,0.17,0.09
abate,1,0.605,1.62,0.67
abave,0,0.18,0.36,0.24
abaze,0,0.175,0.42,0.21
abbas,0,0.3,0.81,0.33
abbey,1,0.797,1.96,0.94
abbot,1,0.62,1.38,0.78
abdal,0,0.098,0.17,0.14
abdat,0,0.115,0.39,0.1
abeam,0,0.142,0.28,0.19
abear,0,0.158,0.41,0.18
abele,0,0.188,0.44,0.23
abhor,1,0.628,1.61,0.72
abide,1,0.733,1.85,0.85
abidi,0,0.07,0.09,0.11
abilo,0,0.127,0.28,0.16
abkar,0,0.05,0.06,0.08
abled,1,0.49,1.26,0.56
abler,0,0.775,1.98,0.89
ablow,0,0.23,0.48,0.3
abmho,0,0.058,0.14,0.07
abnet,0,0.103,0.23,0.13
abode,1,0.65,1.5,0.8
abody,0,0.207,0.43,0.27
abohm,0,0.058,0.08,0.09
aboil,0,0.248,0.44,0.35
aboma,0,0.09,0.21,0.11
aboon,0,0.147,0.25,0.21
abord,0,0.195,0.51,0.22
abort,1,0.835,2.16,0.95
about,1,0.995,3.0,0.99
above,1,0.988,2.99,0.98
abret,0,0.073,0.11,0.11
abrim,0,0.097,0.16,0.14
abrin,0,0.06,0.09,0.09
absit,0,0.103,0.17,0.15
abuna,0,0.062,0.07,0.1
abura,0,0.085,0.18,0.11
abuse,1,0.938,2.69,0.98
abuzz,0,0.718,1.91,0.8
abwab,0,0.053,0.08,0.08
abysm,0,0.217,0.4,0.3
abyss,1,0.71,1.74,0.84
acana,0,0.155,0.33,0.2
acapu,0,0.163,0.41,0.19
acara,0,0.14,0.27,0.19
acari,0,0.053,0.05,0.09
acate,0,0.125,0.3,0.15
accoy,0,0.068,0.11,0.1
acedy,0,0.083,0.14,0.12
acerb,0,0.212,0.58,0.23
achar,0,0.238,0.77,0.22
acher,0,0.292,0.73,0.34
achor,0,0.302,0.7,0.37
acier,0,0.215,0.57,0.24
acker,0,0.532,1.24,0.65
ackey,0,0.253,0.53,0.33
aclys,0,0.045,0.06,0.07
acmic,0,0.08,0.12,0.12
acock,0,0.135,0.24,0.19
acoin,0,0.908,2.54,0.97
acold,0,0.338,0.92,0.37
acoma,0,0.192,0.49,0.22
acone,0,0.468,1.19,0.54
acorn,1,0.813,2.0,0.96
acred,0,0.283,0.5,0.4
acrid,1,0.44,1.17,0.49
acron,0,0.145,0.27,0.2
acryl,0,0.387,0.97,0.45
actin,0,0.428,1.16,0.47
acton,0,0.585,1.74,0.59
actor,1,0.963,2.84,0.98
acute,1,0.837,2.2,0.94
adage,1,0.49,1.32,0.54
adapt,1,0.942,2.74,0.97
adati,0,0.053,0.05,0.09
adawe,0,0.092,0.25,0.1
adawn,0,0.48,0.99,0.63
adays,0,0.228,0.68,0.23
addax,0,0.107,0.28,0.12
added,0,0.987,2.98,0.98
adder,0,0.802,2.08,0.91
addle,0,0.443,1.13,0.51
adead,0,0.498,1.55,0.48
adeem,0,0.118,0.26,0.15
adeep,0,0.525,1.29,0.62
adept,1,0.668,1.64,0.79
adfix,0,0.082,0.13,0.12
adieu,0,0.682,1.63,0.82
adion,0,0.07,0.09,0.11
adjag,0,0.072,0.16,0.09
adlay,0,0.08,0.12,0.12
adlet,0,0.12,0.3,0.14
adman,0,0.742,2.02,0.81
admin,1,0.927,2.71,0.95
admit,1,0.967,2.86,0.98
admix,0,0.262,0.73,0.28
adnex,0,0.102,0.19,0.14
adobe,1,0.795,2.04,0.91
adopt,1,0.885,2.4,0.97
adore,1,0.862,2.29,0.96
adorn,1,0.648,1.58,0.77
adown,0,0.268,0.47,0.38
adoxy,0,0.067,0.1,0.1
adoze,0,0.348,0.8,0.43
adpao,0,0.038,0.05,0.06
adrip,0,0.398,1.07,0.44
adrop,0,0.4,1.05,0.45
adrue,0,0.152,0.31,0.2
adult,1,0.99,2.97,0.99
adunc,0,0.055,0.06,0.09
adusk,0,0.225,0.42,0.31
adust,0,0.135,0.21,0.2
adyta,0,0.088,0.17,0.12
adzer,0,0.1,0.15,0.15
aegis,0,0.342,1.03,0.34
aeric,0,0.092,0.16,0.13
aerie,0,0.343,1.04,0.34
aevia,0,0.047,0.04,0.08
aface,0,0.158,0.38,0.19
afara,0,0.055,0.06,0.09
afear,0,0.158,0.23,0.24
affix,1,0.732,1.72,0.89
afire,1,0.675,1.62,0.81
aflat,0,0.235,0.54,0.29
aflow,0,0.127,0.37,0.13
afoam,0,0.295,0.75,0.34
afoot,1,0.552,1.33,0.66
afore,0,0.18,0.48,0.2
afoul,1,0.43,1.17,0.47
afret,0,0.128,0.35,0.14
after,1,0.995,3.0,0.99
again,1,0.993,2.99,0.99
agama,0,0.21,0.66,0.2
agami,0,0.065,0.12,0.09
agamy,0,0.095,0.21,0.12
agape,1,0.362,1.12,0.35
agasp,0,0.532,1.3,0.63
agate,1,0.528,1.25,0.64
agaty,0,0.102,0.16,0.15
agaze,0,0.298,0.71,0.36
agent,1,0.9,2.52,0.96
agger,0,0.132,0.25,0.18
aggry,0,0.265,0.57,0.34
aggur,0,0.063,0.14,0.08
agile,1,0.777,2.02,0.88
aging,1,0.912,2.59,0.96
agist,0,0.112,0.25,0.14
agita,0,0.127,0.28,0.16
aglet,0,0.222,0.79,0.18
agley,0,0.1,0.12,0.16
aglow,1,0.717,1.84,0.82
agnel,0,0.233,0.62,0.26
agnus,0,0.25,0.72,0.26
agoge,0,0.073,0.11,0.11
agoho,0,0.095,0.33,0.08
agone,0,0.408,1.04,0.47
agony,1,0.823,2.06,0.96
agora,0,0.327,0.97,0.33
agrah,0,0.077,0.16,0.1
agral,0,0.075,0.12,0.11
agree,1,0.995,3.0,0.99
agria,0,0.122,0.22,0.17
agrin,0,0.06,0.06,0.1
agrom,0,0.103,0.17,0.15
agsam,0,0.043,0.05,0.07
aguey,0,0.122,0.28,0.15
agush,0,0.107,0.31,0.11
agust,0,0.223,0.65,0.23
ahead,1,0.987,2.98,0.98
aheap,0,0.522,1.24,0.63
ahind,0,0.182,0.4,0.23
ahint,0,0.748,1.97,0.84
ahong,0,0.083,0.17,0.11
ahsan,0,0.073,0.08,0.12
ahull,0,0.138,0.2,0.21
ahunt,0,0.305,0.63,0.4
ahura,0,0.062,0.07,0.1
ahush,0,0.237,0.58,0.28
ahwal,0,0.05,0.06,0.08
aider,1,0.827,2.26,0.9
aillt,0,0.073,0.17,0.09
aimer,0,0.298,0.98,0.27
ainoi,0,0.057,0.1,0.08
airan,0,0.122,0.19,0.18
airer,0,0.477,1.39,0.49
aisle,1,0.927,2.71,0.95
aitch,0,0.712,1.75,0.84
aiwan,0,0.288,0.65,0.36
aizle,0,0.132,0.37,0.14
ajaja,0,0.125,0.33,0.14
ajari,0,0.128,0.32,0.15
ajava,0,0.208,0.59,0.22
ajhar,0,0.055,0.06,0.09
akala,0,0.17,0.39,0.21
akasa,0,0.088,0.17,0.12
akebi,0,0.057,0.1,0.08
akeki,0,0.06,0.06,0.1
aknee,0,0.243,0.56,0.3
akpek,0,0.03,0.03,0.05
akule,0,0.077,0.13,0.11
akund,0,0.042,0.04,0.07
alack,0,0.347,0.76,0.44
alada,0,0.105,0.21,0.14
alala,0,0.105,0.21,0.14
alamo,0,0.678,1.61,0.82
aland,0,0.287,0.73,0.33
alani,0,0.302,0.88,0.31
alarm,1,0.988,2.99,0.98
alary,0,0.285,0.63,0.36
alate,0,0.103,0.14,0.16
alban,0,0.428,1.19,0.46
albee,0,0.315,0.69,0.4
album,1,0.948,2.75,0.98
albus,0,0.322,0.85,0.36
alder,0,0.573,1.43,0.67
aldim,0,0.088,0.2,0.11
aldol,0,0.177,0.31,0.25
aleak,0,0.143,0.26,0.2
aleft,0,0.177,0.49,0.19
aleph,0,0.24,0.51,0.31
alert,1,0.988,2.96,0.99
alfet,0,0.075,0.09,0.12
algae,1,0.725,1.86,0.83
algal,0,0.528,1.34,0.61
algic,0,0.13,0.24,0.18
algid,0,0.11,0.21,0.15
algin,0,0.207,0.49,0.25
algor,0,0.177,0.37,0.23
algum,0,0.113,0.32,0.12
alias,0,0.785,2.01,0.9
alibi,1,0.792,2.02,0.91
alien,1,0.853,2.18,0.98
align,1,0.862,2.38,0.93
alike,1,0.932,2.68,0.97
alima,0,0.123,0.23,0.17
alish,0,0.15,0.27,0.21
aliso,0,0.275,0.81,0.28
alisp,0,0.168,0.23,0.26
alist,0,0.565,1.32,0.69
alite,0,0.238,0.38,0.35
alive,1,0.993,2.99,0.99
alkyd,0,0.102,0.19,0.14
alkyl,0,0.213,0.44,0.28
allan,0,0.738,1.85,0.86
allay,1,0.472,1.24,0.53
aller,0,0.403,1.19,0.41
alley,1,0.848,2.24,0.95
allot,1,0.652,1.75,0.72
allow,1,0.987,2.98,0.98
alloy,1,0.752,1.87,0.88
allyl,0,0.192,0.4,0.25
almon,0,0.302,0.67,0.38
almud,0,0.075,0.12,0.11
almug,0,0.055,0.06,0.09
alody,0,0.057,0.07,0.09
aloed,0,0.2,0.39,0.27
aloft,1,0.628,1.4,0.79
alogy,0,0.19,0.42,0.24
aloid,0,0.187,0.31,0.27
aloin,0,0.103,0.23,0.13
aloma,0,0.152,0.37,0.18
alone,1,0.987,2.98,0.98
along,1,0.99,3.0,0.98
aloof,1,0.718,1.85,0.82
alose,0,0.507,1.12,0.64
aloud,1,0.927,2.65,0.97
alowe,0,0.138,0.29,0.18
alpha,1,0.887,2.47,0.95
altar,1,0.782,1.87,0.94
alter,1,0.872,2.35,0.96
altho,0,0.307,0.61,0.41
altin,0,0.167,0.4,0.2
altun,0,0.067,0.07,0.11
alula,0,0.088,0.11,0.14
alure,0,0.208,0.53,0.24
aluta,0,0.087,0.16,0.12
alvar,0,0.163,0.35,0.21
alvus,0,0.065,0.06,0.11
alway,0,0.308,0.8,0.35
amaas,0,0.11,0.27,0.13
amaga,0,0.055,0.09,0.08
amain,0,0.137,0.19,0.21
amala,0,0.14,0.36,0.16
amang,0,0.107,0.22,0.14
amani,0,0.173,0.47,0.19
amapa,0,0.108,0.26,0.13
amass,1,0.693,1.67,0.83
amaze,1,0.927,2.62,0.98
amban,0,0.087,0.16,0.12
ambar,0,0.29,0.75,0.33
ambay,0,0.055,0.09,0.08
amber,1,0.893,2.45,0.97
ambit,0,0.452,1.18,0.51
amble,1,0.637,1.63,0.73
ambon,0,0.138,0.38,0.15
ambos,0,0.167,0.34,0.22
ambry,0,0.198,0.47,0.24
ameed,0,0.1,0.21,0.13
ameen,0,0.368,1.04,0.39
amelu,0,0.172,0.28,0.25
amend,1,0.807,2.05,0.93
amene,0,0.107,0.25,0.13
ament,0,0.143,0.29,0.19
amhar,0,0.127,0.22,0.18
amice,0,0.073,0.11,0.11
amide,0,0.362,0.88,0.43
amido,0,0.127,0.22,0.18
amine,0,0.453,1.13,0.53
amini,0,0.15,0.36,0.18
amino,0,0.602,1.48,0.71
amiss,1,0.652,1.63,0.76
amity,1,0.475,1.23,0.54
amman,0,0.395,1.08,0.43
ammer,0,0.178,0.41,0.22
amnia,0,0.43,1.11,0.49
amnic,0,0.087,0.16,0.12
amoke,0,0.22,0.45,0.29
amole,0,0.16,0.45,0.17
among,1,0.937,2.71,0.97
amort,0,0.152,0.34,0.19
amour,0,0.575,1.35,0.7
amove,0,0.153,0.38,0.18
amper,0,0.332,0.73,0.42
ample,1,0.745,1.86,0.87
amply,1,0.663,1.67,0.77
ampul,0,0.333,0.83,0.39
ampyx,0,0.055,0.09,0.08
amsel,0,0.228,0.53,0.28
amuck,0,0.453,1.22,0.5
amula,0,0.063,0.11,0.09
amuse,1,0.822,2.05,0.96
amuze,0,0.15,0.33,0.19
amvis,0,0.065,0.09,0.1
amylo,0,0.173,0.35,0.23
anabo,0,0.083,0.2,0.1
anama,0,0.307,0.85,0.33
anana,0,0.328,0.83,0.38
ancon,0,0.132,0.31,0.16
anear,0,0.15,0.3,0.2
anele,0,0.093,0.17,0.13
anend,0,0.108,0.2,0.15
anent,0,0.11,0.24,0.14
angel,1,0.933,2.66,0.98
anger,1,0.985,2.94,0.99
angle,1,0.933,2.66,0.98
angor,0,0.253,0.62,0.3
angry,1,0.993,2.99,0.99
angst,1,0.562,1.54,0.61
anigh,0,0.133,0.2,0.2
anile,0,0.107,0.19,0.15
anima,0,0.347,0.91,0.39
anime,1,0.765,1.95,0.88
animi,0,0.158,0.29,0.22
anion,0,0.54,1.29,0.65
anise,0,0.465,1.2,0.53
anjan,0,0.053,0.05,0.09
ankee,0,0.12,0.24,0.16
anker,0,0.833,2.18,0.94
ankle,1,0.967,2.86,0.98
ankus,0,0.093,0.2,0.12
annal,0,0.427,1.12,0.48
annat,0,0.097,0.13,0.15
annet,0,0.37,0.81,0.47
annex,1,0.585,1.5,0.67
annoy,1,0.96,2.85,0.97
annul,1,0.567,1.45,0.65
anode,1,0.417,1.15,0.45
anoil,0,0.238,0.56,0.29
anole,0,0.238,0.74,0.23
anoli,0,0.082,0.13,0.12
anomy,0,0.217,0.52,0.26
ansar,0,0.158,0.41,0.18
antal,0,0.157,0.34,0.2
antes,0,0.192,0.37,0.26
antic,1,0.632,1.54,0.75
antra,0,0.115,0.24,0.15
antre,0,0.202,0.46,0.25
anury,0,0.063,0.08,0.1
anvil,1,0.712,1.66,0.87
aorta,1,0.482,1.24,0.55
apace,0,0.423,0.98,0.52
apaid,0,0.52,1.29,0.61
apart,1,0.973,2.9,0.98
apeak,0,0.243,0.53,0.31
apert,0,0.177,0.37,0.23
apery,0,0.1,0.18,0.14
aphid,1,0.338,0.95,0.36
apian,0,0.09,0.12,0.14
apiin,0,0.117,0.25,0.15
aping,1,0.658,1.79,0.72
apish,0,0.133,0.26,0.18
apism,0,0.073,0.11,0.11
apnea,1,0.482,1.45,0.48
apoop,0,0.365,0.9,0.43
aport,0,0.202,0.43,0.26
apout,0,0.465,1.05,0.58
appay,0,0.112,0.31,0.12
appet,0,0.247,0.49,0.33
apple,1,0.995,3.0,0.99
apply,1,0.983,2.96,0.98
apron,1,0.847,2.2,0.96
apsis,0,0.15,0.36,0.18
aptly,1,0.668,1.7,0.77
araba,0,0.2,0.51,0.23
araca,0,0.075,0.15,0.1
arado,0,0.108,0.29,0.12
arain,0,0.113,0.23,0.15
arake,0,0.083,0.14,0.12
arara,0,0.175,0.51,0.18
arati,0,0.083,0.11,0.13
arbor,1,0.582,1.42,0.69
arche,0,0.2,0.3,0.3
archy,0,0.422,0.82,0.57
ardeb,0,0.055,0.09,0.08
ardor,1,0.418,1.19,0.44
ardri,0,0.053,0.08,0.08
aread,0,0.192,0.49,0.22
areal,0,0.268,0.53,0.36
arear,0,0.198,0.53,0.22
areek,0,0.07,0.12,0.1
areel,0,0.187,0.52,0.2
arena,1,0.817,2.08,0.94
arend,0,0.203,0.47,0.25
areng,0,0.112,0.28,0.13
arent,0,0.467,1.18,0.54
arete,0,0.132,0.31,0.16
argal,0,0.078,0.14,0.11
argel,0,0.097,0.16,0.14
argil,0,0.092,0.13,0.14
argol,0,0.09,0.12,0.14
argon,0,0.535,1.29,0.64
argot,0,0.265,0.87,0.24
argue,1,0.983,2.96,0.98
arhar,0,0.057,0.07,0.09
arhat,0,0.165,0.51,0.16
ariel,0,0.667,1.54,0.82
ariot,0,0.472,1.09,0.58
arise,1,0.858,2.3,0.95
arist,0,0.233,0.5,0.3
arite,0,0.123,0.26,0.16
arjun,0,0.148,0.32,0.19
arles,0,0.237,0.61,0.27
armed,0,0.925,2.61,0.98
armer,0,0.263,0.53,0.35
armet,0,0.1,0.15,0.15
armil,0,0.072,0.13,0.1
armor,1,0.833,2.09,0.97
arnee,0,0.102,0.19,0.14
arnut,0,0.075,0.12,0.11
aroar,0,0.513,1.43,0.55
arock,0,0.403,0.98,0.48
aroid,0,0.173,0.41,0.21
aroma,1,0.85,2.25,0.95
aroon,0,0.19,0.48,0.22
arose,1,0.837,2.2,0.94
arpen,0,0.172,0.49,0.18
arrah,0,0.083,0.17,0.11
arras,0,0.192,0.46,0.23
arrau,0,0.077,0.13,0.11
array,1,0.723,1.73,0.87
arrie,0,0.392,0.91,0.48
arris,0,0.262,0.64,0.31
arrow,1,0.972,2.89,0.98
arses,0,0.615,1.41,0.76
arsis,0,0.058,0.05,0.1
arsle,0,0.078,0.14,0.11
arson,1,0.76,1.86,0.9
arsyl,0,0.048,0.05,0.08
artal,0,0.072,0.1,0.11
